Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
France,2020-07-07,1.1183429115530543,1.3684841779011248,0.868055019938509,1.2386904816553566,0.9988895018776182,5,2021-06-22
France,2020-07-08,1.124144679136433,1.3727245966757289,0.8719112423762805,1.243003201836869,1.0062690303778636,5,2021-06-22
France,2020-07-09,1.1282488104558637,1.377940661717357,0.8754468822690022,1.2474858215524225,1.0101939574911842,5,2021-06-22
France,2020-07-10,1.1353373009236165,1.388364100090942,0.8798499921181305,1.253716237768352,1.0167424466749686,5,2021-06-22
France,2020-07-11,1.1470778855162582,1.4005854340752848,0.8937019469965297,1.2647255354298372,1.0268241701979521,5,2021-06-22
France,2020-07-12,1.1610116752886308,1.4120003469501872,0.9101112763456304,1.2787520742970502,1.0424443852027765,5,2021-06-22
France,2020-07-13,1.1741070727820289,1.4287426566584769,0.9242971340178588,1.292211248620506,1.0558575601569822,5,2021-06-22
France,2020-07-14,1.1815951767975772,1.4320360398163594,0.9321709439554006,1.29875204119433,1.063822109514892,5,2021-06-22
France,2020-07-15,1.1970421185426008,1.4461698481604277,0.945275793855167,1.314825068794161,1.0789939892920517,5,2021-06-22
France,2020-07-16,1.2128911224456695,1.4627127142021543,0.9635646069028396,1.3308255571869252,1.09427789468494,5,2021-06-22
France,2020-07-17,1.2325898239310649,1.4828138747558564,0.9836936472603804,1.3502225949516653,1.1141244601881717,5,2021-06-22
France,2020-07-18,1.2531618286343742,1.5043338316683277,1.003319753820159,1.3722894753545054,1.1350379526746932,5,2021-06-22
France,2020-07-19,1.2778426020363631,1.5307573911074763,1.0279164218214214,1.3955923465834714,1.1595999103255472,5,2021-06-22
France,2020-07-20,1.3020167510317358,1.5535387735578492,1.0517096923984306,1.421073556753444,1.183444611658557,5,2021-06-22
France,2020-07-21,1.3080140259530095,1.5606077825471911,1.0573240956975232,1.4266687011151884,1.189519037297535,5,2021-06-22
France,2020-07-22,1.3086630883581325,1.55925678637827,1.0577089723605224,1.428037515984938,1.189209043752686,5,2021-06-22
